ID-Months,KG_N
1000-2019_Ağustos,0
1000-2019_Aralık,0
1000-2019_Ekim,0
1000-2019_Eylül,0
1000-2019_Kasım,0
1001-2019_Ağustos,0
1001-2019_Aralık,0
1001-2019_Ekim,0
1001-2019_Eylül,0
1001-2019_Kasım,0
1002-2019_Ağustos,0
1002-2019_Aralık,0
1002-2019_Ekim,0
1002-2019_Eylül,0
1002-2019_Kasım,0
1003-2019_Ağustos,0
1003-2019_Aralık,0
1003-2019_Ekim,0
1003-2019_Eylül,0
1003-2019_Kasım,0
1004-2019_Ağustos,0
1004-2019_Aralık,0
1004-2019_Ekim,0
1004-2019_Eylül,0
1004-2019_Kasım,0
1005-2019_Ağustos,0
1005-2019_Aralık,0
1005-2019_Ekim,0
1005-2019_Eylül,0
1005-2019_Kasım,0
1006-2019_Ağustos,0
1006-2019_Aralık,0
1006-2019_Ekim,0
1006-2019_Eylül,0
1006-2019_Kasım,0
1007-2019_Ağustos,0
1007-2019_Aralık,0
1007-2019_Ekim,0
1007-2019_Eylül,0
1007-2019_Kasım,0
1008-2019_Ağustos,0
1008-2019_Aralık,0
1008-2019_Ekim,0
1008-2019_Eylül,0
1008-2019_Kasım,0
1009-2019_Ağustos,0
1009-2019_Aralık,0
1009-2019_Ekim,0
1009-2019_Eylül,0
1009-2019_Kasım,0
1010-2019_Ağustos,0
1010-2019_Aralık,0
1010-2019_Ekim,0
1010-2019_Eylül,0
1010-2019_Kasım,0
1011-2019_Ağustos,0
1011-2019_Aralık,0
1011-2019_Ekim,0
1011-2019_Eylül,0
1011-2019_Kasım,0
1012-2019_Ağustos,0
1012-2019_Aralık,0
1012-2019_Ekim,0
1012-2019_Eylül,0
1012-2019_Kasım,0
1013-2019_Ağustos,0
1013-2019_Aralık,0
1013-2019_Ekim,0
1013-2019_Eylül,0
1013-2019_Kasım,0
1014-2019_Ağustos,0
1014-2019_Aralık,0
1014-2019_Ekim,0
1014-2019_Eylül,0
1014-2019_Kasım,0
1015-2019_Ağustos,0
1015-2019_Aralık,0
1015-2019_Ekim,0
